Ipopt 3.13.4: 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:     9319
Number of nonzeros in inequality constraint Jacobian.:    31040
Number of nonzeros in Lagrangian Hessian.............:     7180

Total number of variables............................:     3109
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2527
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2528
Total number of inequality constraints...............:     6208
        inequality constraints with only lower bounds:     6208
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  45  3.4939660e+01 3.69e-02 1.65e+02   0.4 2.59e+01    -  5.42e-01 6.40e-01f  1
  46  3.4935431e+01 4.42e-02 4.46e+01   0.4 2.77e+01    -  7.08e-01 6.13e-01f  1
  47  3.4935489e+01 4.77e-02 9.30e+00   0.4 2.56e+01    -  9.98e-01 7.30e-01f  1
  48  3.4933937e+01 8.21e-04 5.69e+01  -0.3 1.15e+01    -  6.14e-01 1.00e+00h  1
  49  3.4930694e+01 2.01e-04 4.13e-01  -1.2 1.70e+00    -  9.95e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  3.4679065e+01 3.54e-02 9.47e-02  -1.3 1.73e+01    -  9.91e-01 1.00e+00f  1
  51  3.3753816e+01 4.88e-02 1.84e-01  -1.4 2.24e+01    -  7.91e-01 1.00e+00h  1
  52  3.3820473e+01 8.01e-02 2.01e-01  -1.4 2.61e+01    -  1.00e+00 1.00e+00h  1
  53  3.3781231e+01 5.90e-02 1.42e-01  -1.4 2.78e+01    -  1.00e+00 1.00e+00h  1
  54  3.3768401e+01 5.70e-02 1.61e-01  -1.4 2.90e+01    -  1.00e+00 1.00e+00h  1
  55  3.3747817e+01 4.69e-02 1.09e-01  -1.4 2.00e+01    -  1.00e+00 1.00e+00h  1
  56  3.3713018e+01 2.91e-02 1.13e-01  -1.4 3.60e+01    -  7.81e-01 1.00e+00h  1
  57  3.3674712e+01 4.82e-02 9.76e-02  -1.4 2.93e+01    -  1.00e+00 1.00e+00h  1
  58  3.3669878e+01 3.15e-02 6.31e-02  -1.4 2.56e+01    -  1.00e+00 1.00e+00h  1
  59  3.3622781e+01 2.61e-02 7.86e-02  -1.4 3.24e+01    -  8.96e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  3.3596472e+01 3.88e-02 9.23e-02  -1.4 2.75e+01    -  1.00e+00 1.00e+00h  1
  61  3.3581306e+01 2.43e-02 7.84e-02  -1.4 3.42e+01    -  9.43e-01 1.00e+00h  1
  62  3.3558299e+01 4.57e-02 9.23e-02  -1.4 1.75e+01    -  1.00e+00 1.00e+00h  1
  63  3.3565318e+01 2.17e-02 9.42e-02  -1.4 2.61e+01    -  9.03e-01 1.00e+00h  1
  64  3.3514040e+01 4.61e-02 7.81e-02  -1.4 2.59e+01    -  1.00e+00 1.00e+00h  1
  65  3.3521908e+01 2.21e-02 9.75e-02  -1.4 2.80e+01    -  8.15e-01 1.00e+00h  1
  66  3.3449794e+01 5.26e-02 7.84e-02  -1.4 1.81e+01    -  1.00e+00 1.00e+00h  1
  67  3.3469264e+01 2.53e-02 1.13e-01  -1.4 3.33e+01    -  8.96e-01 1.00e+00h  1
  68  3.3406903e+01 4.82e-02 7.87e-02  -1.4 2.00e+01    -  1.00e+00 1.00e+00h  1
  69  3.3390473e+01 3.30e-02 7.37e-02  -1.4 2.87e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  3.3336738e+01 3.32e-02 7.66e-02  -1.4 2.55e+01    -  9.66e-01 1.00e+00h  1
  71  3.3329249e+01 2.91e-02 6.27e-02  -1.4 2.13e+01    -  1.00e+00 1.00e+00h  1
  72  3.3268771e+01 3.09e-02 7.76e-02  -1.4 2.54e+01    -  9.32e-01 1.00e+00h  1
  73  3.3252437e+01 2.86e-02 6.38e-02  -1.4 2.10e+01    -  1.00e+00 1.00e+00h  1
  74  3.3202505e+01 2.96e-02 7.68e-02  -1.4 2.41e+01    -  9.18e-01 1.00e+00h  1
  75  3.3187363e+01 2.89e-02 6.43e-02  -1.4 2.03e+01    -  1.00e+00 1.00e+00h  1
  76  3.3140130e+01 2.75e-02 6.61e-02  -1.4 1.72e+01    -  9.34e-01 1.00e+00h  1
  77  3.3149141e+01 2.21e-02 1.20e-01  -1.4 2.48e+01    -  1.00e+00 1.00e+00h  1
  78  3.3056406e+01 2.97e-02 6.12e-02  -1.4 1.51e+01    -  1.00e+00 1.00e+00h  1
  79  3.3043000e+01 1.09e-02 9.71e-02  -1.4 2.49e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  3.2955135e+01 2.22e-02 8.19e-02  -1.4 1.16e+01    -  1.00e+00 1.00e+00h  1
  81  3.2930079e+01 1.89e-02 6.63e-02  -1.4 2.21e+01    -  1.00e+00 1.00e+00h  1
  82  3.2889151e+01 1.87e-02 1.38e-01  -1.4 1.66e+01    -  1.00e+00 1.00e+00h  1
  83  3.2822820e+01 2.99e-02 6.52e-02  -1.4 1.37e+01    -  8.66e-01 1.00e+00h  1
  84  3.2844252e+01 8.21e-03 9.84e-02  -1.4 2.14e+01    -  1.00e+00 1.00e+00h  1
  85  3.2770923e+01 2.48e-02 8.80e-02  -1.4 1.22e+01    -  1.00e+00 1.00e+00h  1
  86  3.2733671e+01 1.79e-02 6.05e-02  -1.4 1.41e+01    -  1.00e+00 1.00e+00h  1
  87  3.2686607e+01 1.72e-02 1.26e-01  -1.4 1.97e+01    -  1.00e+00 1.00e+00h  1
  88  3.2619854e+01 1.49e-02 6.02e-02  -1.4 1.05e+01    -  1.00e+00 1.00e+00h  1
  89  3.2658102e+01 9.83e-03 6.41e-02  -1.4 1.33e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  3.2615714e+01 1.68e-02 1.27e-01  -1.4 1.85e+01    -  1.00e+00 1.00e+00h  1
  91  3.2559672e+01 1.80e-02 6.27e-02  -1.4 1.09e+01    -  1.00e+00 1.00e+00h  1
  92  3.2594475e+01 1.13e-02 6.54e-02  -1.4 1.33e+01    -  1.00e+00 1.00e+00h  1
  93  3.2547363e+01 1.55e-02 1.30e-01  -1.4 1.83e+01    -  1.00e+00 1.00e+00h  1
  94  3.2482892e+01 1.76e-02 7.08e-02  -1.4 1.08e+01    -  1.00e+00 1.00e+00h  1
  95  3.2514317e+01 1.11e-02 6.64e-02  -1.4 1.26e+01    -  1.00e+00 1.00e+00h  1
  96  3.2497127e+01 1.60e-02 1.31e-01  -1.4 1.80e+01    -  1.00e+00 1.00e+00h  1
  97  3.2435563e+01 1.73e-02 5.84e-02  -1.4 1.06e+01    -  1.00e+00 1.00e+00h  1
  98  3.2463201e+01 9.00e-03 7.57e-02  -1.4 1.18e+01    -  1.00e+00 1.00e+00h  1
  99  3.2455084e+01 1.06e-02 1.16e-01  -1.4 1.49e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  3.2392929e+01 1.63e-02 4.98e-02  -1.4 1.10e+01    -  1.00e+00 1.00e+00h  1
 101  3.2416244e+01 6.71e-03 6.53e-02  -1.4 8.17e+00    -  1.00e+00 1.00e+00h  1
 102  3.2439965e+01 7.23e-03 7.37e-02  -1.4 9.50e+00    -  1.00e+00 1.00e+00h  1
 103  3.2433699e+01 1.11e-02 1.38e-01  -1.4 1.27e+01    -  1.00e+00 1.00e+00h  1
 104  3.2396253e+01 1.52e-02 5.84e-02  -1.4 9.66e+00    -  1.00e+00 1.00e+00h  1
 105  3.2437384e+01 9.24e-03 7.11e-02  -1.4 1.19e+01    -  1.00e+00 1.00e+00h  1
 106  3.2464505e+01 7.96e-03 1.08e-01  -1.4 1.43e+01    -  1.00e+00 1.00e+00h  1
 107  3.2441134e+01 1.55e-02 9.92e-02  -1.4 1.01e+01    -  1.00e+00 1.00e+00h  1
 108  3.2418760e+01 9.03e-03 8.15e-02  -1.4 8.58e+00    -  1.00e+00 1.00e+00h  1
 109  3.2466792e+01 5.29e-03 6.67e-02  -1.4 9.63e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  3.2431524e+01 1.29e-02 1.23e-01  -1.4 1.27e+01    -  1.00e+00 1.00e+00h  1
 111  3.2387246e+01 1.60e-02 5.74e-02  -1.4 1.02e+01    -  1.00e+00 1.00e+00h  1
 112  3.2414311e+01 8.89e-03 8.21e-02  -1.4 1.23e+01    -  1.00e+00 1.00e+00h  1
 113  3.2433032e+01 7.25e-03 9.83e-02  -1.4 1.46e+01    -  1.00e+00 1.00e+00h  1
 114  3.2382759e+01 1.64e-02 8.40e-02  -1.4 1.04e+01    -  1.00e+00 1.00e+00h  1
 115  3.2331535e+01 1.49e-02 7.10e-02  -1.4 1.14e+01    -  1.00e+00 1.00e+00h  1
 116  3.2346682e+01 7.73e-03 7.07e-02  -1.4 1.76e+01    -  1.00e+00 1.00e+00h  1
 117  3.2318570e+01 1.01e-02 1.28e-01  -1.4 8.67e+00    -  1.00e+00 1.00e+00h  1
