Ipopt 3.13.4: 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:     7639
Number of nonzeros in inequality constraint Jacobian.:    19080
Number of nonzeros in Lagrangian Hessian.............:     5885

Total number of variables............................:     2549
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2072
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2073
Total number of inequality constraints...............:     3816
        inequality constraints with only lower bounds:     3816
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.6349388e+01 4.80e+00 1.85e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.6588579e+01 4.67e+00 1.90e+01   0.4 1.79e+01   0.0 8.86e-02 2.68e-02f  1
   2  2.8008659e+01 4.44e+00 3.44e+03   1.3 4.81e+01  -0.5 9.09e-01 5.34e-02f  1
   3  2.8756125e+01 3.94e+00 3.05e+03   1.3 3.50e+01    -  1.14e-01 1.12e-01f  1
   4  2.9157768e+01 3.62e+00 2.40e+03   1.3 4.02e+01    -  1.91e-01 8.01e-02f  1
   5  2.9497628e+01 3.29e+00 2.23e+03   1.3 4.40e+01    -  8.36e-02 9.28e-02f  1
   6  2.9703641e+01 3.07e+00 2.07e+03   1.3 5.73e+01    -  1.24e-01 6.70e-02f  1
   7  2.9820312e+01 2.93e+00 3.78e+03   1.3 8.85e+01    -  1.86e-01 4.54e-02f  2
   8  2.9936425e+01 2.79e+00 5.61e+03   1.3 1.46e+02    -  1.01e-01 4.72e-02f  2
   9  2.9974082e+01 2.75e+00 1.44e+04   1.3 1.70e+02    -  1.70e-01 1.36e-02h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.9995910e+01 2.73e+00 2.20e+04   1.3 1.76e+02    -  6.05e-02 6.76e-03h  4
  11  3.0002960e+01 2.73e+00 5.11e+04   1.3 1.81e+02    -  1.38e-01 1.82e-03h  6
  12  3.0004321e+01 2.73e+00 6.44e+04   1.3 1.82e+02    -  4.03e-02 5.77e-04h  8
  13  3.0004918e+01 2.73e+00 1.02e+05   1.3 1.99e+02    -  9.35e-02 3.02e-04h  9
  14  3.0005976e+01 2.72e+00 1.18e+05   1.3 2.28e+02    -  2.87e-02 1.02e-03h  6
  15  3.0006010e+01 2.72e+00 2.16e+05   1.3 2.35e+02    -  1.48e-01 8.74e-04h  7
  16  2.9990510e+01 2.71e+00 2.44e+05   1.3 2.59e+02    -  2.95e-02 5.56e-03f  5
  17  2.9915406e+01 2.58e+00 2.56e+05   1.3 2.62e+02    -  6.06e-02 4.61e-02w  1
  18  2.9964620e+01 2.54e+00 2.95e+05   1.3 9.25e+01   0.9 2.22e-02 1.43e-02w  1
  19  2.9972214e+01 2.54e+00 3.05e+05   1.3 5.36e+02   0.4 5.43e-03 1.81e-03w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.9988163e+01 2.70e+00 3.27e+05   1.3 8.72e+01   0.8 6.06e-02 1.44e-03f  5
  21  2.9981876e+01 2.70e+00 4.14e+05   1.3 2.53e+02    -  4.84e-02 2.35e-03h  6
  22  2.9972186e+01 2.69e+00 5.32e+05   1.3 2.56e+02    -  5.16e-02 2.58e-03h  6
  23  2.9971513e+01 2.69e+00 6.47e+05   1.3 2.53e+02    -  3.61e-02 1.56e-04h 10
  24  2.9956029e+01 2.68e+00 1.02e+06   1.3 2.49e+02    -  9.86e-02 3.44e-03f  5
  25  2.9954952e+01 2.67e+00 1.15e+06   1.3 4.52e+02    -  2.71e-02 3.50e-03f  3
  26  2.9953978e+01 2.66e+00 2.04e+06   1.3 4.27e+02    -  1.36e-01 3.11e-03f  3
  27  2.9941135e+01 2.65e+00 2.28e+06   1.3 2.81e+02    -  2.32e-02 3.38e-03f  5
  28  2.9936861e+01 2.65e+00 3.52e+06   1.3 2.83e+02    -  8.79e-02 1.64e-03f  6
  29  2.9925777e+01 2.64e+00 4.43e+06   1.3 2.66e+02    -  4.29e-02 2.90e-03f  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.9648999e+01 2.39e+00 5.61e+06   1.3 2.67e+02    -  1.42e-01 9.36e-02w  1
  31  2.9649982e+01 2.39e+00 6.07e+06   1.3 3.51e+02    -  5.76e-03 1.80e-03w  1
  32  2.9614436e+01 2.36e+00 5.00e+06   1.3 2.14e+02    -  2.68e-04 1.10e-02w  1
  33  2.9921453e+01 2.64e+00 8.53e+06   1.3 1.21e+03    -  1.42e-01 1.46e-03f  6
  34  2.9911347e+01 2.63e+00 1.28e+07   1.3 2.58e+02    -  7.82e-02 3.00e-03f  6
  35  2.9903713e+01 2.62e+00 1.64e+07   1.3 2.60e+02    -  4.40e-02 2.92e-03f  5
  36  2.9900649e+01 2.61e+00 2.29e+07   1.3 2.66e+02    -  5.99e-02 2.42e-03h  5
  37  2.9901991e+01 2.61e+00 2.82e+07   1.3 2.65e+02    -  3.58e-02 2.29e-03h  5
  38  2.9906919e+01 2.60e+00 3.33e+07   1.3 2.66e+02    -  2.81e-02 2.43e-03h  5
  39  2.9908217e+01 2.60e+00 4.18e+07   1.3 2.69e+02    -  3.61e-02 4.11e-04h  8
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.9923866e+01 2.59e+00 4.54e+07   1.3 2.65e+02    -  1.69e-02 4.48e-03h  3
  41  2.9933441e+01 2.58e+00 5.20e+07   1.3 2.77e+02    -  2.19e-02 1.97e-03h  3
  42  2.9940423e+01 2.58e+00 6.49e+07   1.3 2.78e+02    -  3.45e-02 1.18e-03h  5
  43  3.0004546e+01 2.58e+00 6.47e+07   1.3 1.07e+03    -  9.20e-04 1.09e-03w  1
  44  3.0005335e+01 2.58e+00 6.68e+07   1.3 4.01e+02   2.1 4.23e-03 3.00e-05w  1
  45  3.0078305e+01 2.55e+00 6.77e+07   1.3 1.21e+02   2.6 1.42e-02 1.22e-02w  1
