Ipopt 3.13.4: 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
  46  2.9972485e+01 2.58e+00 6.50e+07   1.3 3.35e+02   2.1 9.20e-04 5.43e-04f  1
  47  3.0006436e+01 2.57e+00 6.46e+07   1.3 1.28e+02   2.5 5.76e-03 5.76e-03s 15
  48  3.0006992e+01 2.56e+00 6.46e+07   1.3 8.37e+01   2.9 1.45e-04 1.45e-04s 15
  49  3.0072685e+01 2.55e+00 7.04e+07   1.3 2.11e+02   2.5 7.99e-03 0.00e+00S 15
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  3.0073319e+01 2.55e+00 7.37e+07   1.3 3.10e+02   2.0 9.02e-03 3.23e-05h  1
  51  3.0067492e+01 2.55e+00 7.94e+07   1.3 8.62e+02    -  1.29e-02 1.31e-03f  3
  52  3.0067407e+01 2.55e+00 7.97e+07   1.3 1.04e+04    -  5.69e-04 3.28e-05f  6
  53  3.0064302e+01 2.54e+00 9.27e+07   1.3 9.27e+02    -  2.47e-02 1.15e-03f  4
  54  3.0057841e+01 2.54e+00 9.93e+07   1.3 4.98e+02    -  1.05e-02 5.93e-04f  6
  55  3.0075496e+01 2.52e+00 1.06e+08   1.3 7.52e+01   3.3 1.44e-02 1.03e-02h  1
  56  3.0093664e+01 2.49e+00 1.38e+08   1.3 7.90e+01   3.7 2.31e-02 1.08e-02h  1
  57  3.0109301e+01 2.47e+00 2.14e+08   1.3 7.89e+01   4.2 2.39e-02 8.88e-03h  1
  58  3.0115001e+01 2.46e+00 2.13e+08   1.3 4.89e+02   3.7 4.87e-03 2.18e-03h  1
  59  3.0115796e+01 2.46e+00 2.22e+08   1.3 1.52e+02   3.2 4.50e-03 1.46e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  3.0124881e+01 2.46e+00 2.42e+08   1.3 3.50e+02   2.7 1.85e-02 9.71e-04h  4
  61  3.0148355e+01 2.45e+00 2.38e+08   1.3 1.62e+02   3.2 2.23e-03 3.42e-03h  3
  62  3.0200963e+01 2.42e+00 3.07e+08   1.3 1.18e+02   3.6 2.67e-02 1.13e-02h  1
  63  3.0238725e+01 2.40e+00 3.86e+08   1.3 9.72e+01   4.0 1.67e-02 8.11e-03h  1
  64  3.0239050e+01 2.40e+00 5.25e+08   1.3 8.23e+01   4.4 7.22e-03 7.89e-05h  1
  65  3.0253308e+01 2.40e+00 5.11e+08   1.3 1.45e+02   4.0 1.59e-03 2.69e-03h  2
  66  3.0254680e+01 2.40e+00 1.50e+09   1.3 9.98e+01   4.4 4.82e-02 3.89e-04h  1
  67  3.0288456e+01 2.39e+00 1.46e+09   1.3 1.85e+02   3.9 2.65e-03 4.63e-03h  1
  68  3.0289356e+01 2.38e+00 2.02e+09   1.3 1.26e+02   4.3 2.17e-02 1.14e-04h  1
  69  3.0298964e+01 2.38e+00 2.73e+09   1.3 1.04e+02   4.8 1.45e-02 1.51e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  3.0303100e+01 2.38e+00 2.80e+09   1.3 1.54e+02   4.3 2.77e-03 2.63e-04h  1
  71  3.0354012e+01 2.37e+00 2.65e+09   1.3 1.21e+02   4.7 3.70e-03 6.01e-03h  1
  72  3.0354677e+01 2.37e+00 3.57e+09   1.3 9.69e+01   5.1 8.57e-03 1.11e-04h  1
  73  3.0373552e+01 2.36e+00 3.76e+09   1.3 1.44e+02   4.7 5.13e-03 1.49e-03h  1
  74  3.0390109e+01 2.36e+00 4.01e+09   1.3 1.11e+02   5.1 4.27e-03 2.07e-03h  1
  75  3.0398870e+01 2.36e+00 4.00e+09   1.3 1.49e+03   4.6 2.07e-05 4.18e-04f  2
  76  3.0404787e+01 2.36e+00 6.78e+09   1.3 1.22e+02   5.0 2.83e-02 6.47e-04h  1
  77  3.0404864e+01 2.36e+00 2.07e+10   1.3 1.03e+02   5.5 5.91e-02 1.05e-05h  1
  78  3.0468657e+01 2.34e+00 2.15e+10   1.3 1.68e+02   5.0 1.14e-02 4.57e-03h  1
  79  3.0469161e+01 2.34e+00 3.53e+10   1.3 1.38e+02   5.4 4.90e-02 4.55e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  3.0510648e+01 2.34e+00 3.59e+10   1.3 2.20e+02   4.9 6.04e-03 2.13e-03h  2
  81  3.0608345e+01 2.33e+00 3.56e+10   1.3 3.24e+02   4.4 3.49e-04 3.39e-03h  1
  82  3.0609818e+01 2.33e+00 3.56e+10   1.3 2.45e+02   4.9 1.92e-06 6.31e-05h  1
  83  3.0609830e+01 2.33e+00 3.56e+10   1.3 1.96e+03   4.4 2.92e-07 6.12e-07f  2
  84r 3.0609830e+01 2.33e+00 1.00e+03   1.3 0.00e+00   4.8 0.00e+00 4.37e-07R  3
  85r 3.0639728e+01 2.31e+00 1.32e+03  -0.4 2.28e+02    -  8.57e-02 9.03e-03f  1
  86r 3.0507871e+01 1.76e+00 1.12e+03   1.9 1.93e+02    -  1.76e-01 1.12e-01f  1
  87r 3.0653501e+01 2.40e+00 1.22e+03   1.5 4.13e+01    -  4.22e-01 1.91e-01f  1
  88r 3.0891778e+01 1.73e+00 7.62e+02   1.5 3.35e+01    -  3.27e-01 4.09e-01f  1
  89r 3.1035148e+01 8.71e-01 5.58e+02   1.5 2.30e+01    -  3.01e-01 5.27e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 3.1044462e+01 7.83e-01 3.09e+02   1.5 3.97e+01    -  4.42e-01 2.73e-01f  1
  91r 3.1556048e+01 4.97e-01 2.01e+02   0.8 2.43e+01    -  3.10e-01 3.75e-01f  1
  92r 3.1596945e+01 4.59e-01 1.42e+03   1.1 1.05e+02    -  1.38e-01 3.28e-02f  1
  93r 3.2233401e+01 2.01e-01 1.00e+03   0.7 1.62e+01    -  2.56e-01 5.05e-01f  1
  94r 3.2304833e+01 1.41e-01 5.14e+02   1.0 2.03e+01    -  7.50e-01 2.42e-01f  1
  95r 3.2738730e+01 1.42e-01 1.68e+02  -0.0 1.26e+01    -  5.69e-01 3.62e-01f  1
  96  3.2752913e+01 1.42e-01 2.48e+02   1.3 2.98e+02    -  8.08e-02 3.30e-03f  1
  97  3.2680835e+01 1.34e-01 1.00e+03   1.3 7.86e+01    -  4.23e-01 5.21e-02f  1
  98  3.2696302e+01 1.32e-01 1.27e+03   1.3 1.57e+02    -  6.63e-02 1.81e-02f  3
  99  3.2703517e+01 1.31e-01 2.07e+03   1.3 1.69e+02    -  1.14e-01 7.31e-03h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  3.2710897e+01 1.30e-01 2.56e+03   1.3 1.92e+02    -  6.52e-02 6.15e-03h  5
 101  3.2724588e+01 1.28e-01 4.20e+03   1.3 1.97e+02    -  1.72e-01 1.10e-02h  4
 102  3.2733360e+01 1.28e-01 5.71e+03   1.3 2.12e+02    -  1.14e-01 6.63e-03h  5
 103  3.2738911e+01 1.27e-01 6.73e+03   1.3 2.31e+02    -  5.91e-02 3.99e-03h  6
 104  3.2740250e+01 1.27e-01 1.04e+04   1.3 2.33e+02    -  1.68e-01 9.60e-04h  8
 105  3.2743450e+01 1.27e-01 1.26e+04   1.3 2.12e+02    -  6.60e-02 2.39e-03h  7
 106  3.2749683e+01 1.26e-01 2.26e+04   1.3 2.09e+02    -  2.50e-01 4.77e-03h  6
 107  3.2752714e+01 1.26e-01 3.00e+04   1.3 1.87e+02    -  1.04e-01 2.71e-03h  7
 108  3.2928294e+01 1.48e-01 2.17e+04   1.3 1.81e+02    -  1.60e-01 1.75e-01w  1
 109  3.2954733e+01 1.47e-01 1.89e+04   1.3 1.62e+02    -  2.51e-02 3.22e-02w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  3.2969132e+01 1.46e-01 1.85e+04   1.3 2.08e+02    -  2.08e-02 1.63e-02w  1
 111  3.2758201e+01 1.25e-01 4.50e+04   1.3 2.09e+02    -  1.60e-01 5.47e-03h  5
 112  3.2767553e+01 1.24e-01 8.01e+04   1.3 1.73e+02    -  2.49e-01 1.10e-02h  5
 113  3.2770160e+01 1.23e-01 1.50e+05   1.3 1.64e+02    -  2.56e-01 5.03e-03h  6
 114  3.2770605e+01 1.23e-01 3.19e+05   1.3 1.73e+02    -  3.45e-01 2.51e-03h  7
 115  3.2768328e+01 1.22e-01 4.72e+05   1.3 1.49e+02    -  1.55e-01 9.47e-03h  5
 116  3.2767825e+01 1.21e-01 5.17e+05   1.3 1.50e+02    -  3.33e-02 4.59e-03h  5
 117  3.2767614e+01 1.20e-01 6.10e+05   1.3 1.56e+02    -  6.70e-02 1.16e-02h  3
 118  3.2768181e+01 1.19e-01 9.37e+05   1.3 1.57e+02    -  1.63e-01 6.40e-03h  4
 119  3.2767513e+01 1.18e-01 2.38e+06   1.3 1.20e+02    -  3.98e-01 4.07e-03h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.2771088e+01 1.18e-01 2.38e+06   1.3 4.52e+02    -  7.74e-03 2.94e-03f  5
 121  3.2814568e+01 1.12e-01 2.24e+06   1.3 4.39e+02    -  1.63e-02 4.66e-02w  1
 122  3.2807384e+01 1.12e-01 2.18e+06   1.3 2.81e+02    -  6.47e-02 4.05e-03w  1
 123  3.2810368e+01 1.08e-01 2.14e+06   1.3 2.58e+02    -  1.02e-01 3.16e-02w  1
 124  3.2772446e+01 1.18e-01 2.39e+06   1.3 2.14e+02    -  1.63e-02 1.46e-03f  5
 125  3.2772635e+01 1.18e-01 2.43e+06   1.3 4.19e+02    -  3.63e-02 1.31e-03f  6
 126  3.2766390e+01 1.17e-01 2.53e+06   1.3 3.85e+02    -  5.10e-02 2.79e-03h  4
 127  3.2764225e+01 1.17e-01 2.73e+06   1.3 3.46e+02    -  6.91e-02 2.21e-03h  5
 128  3.2763442e+01 1.17e-01 3.05e+06   1.3 3.15e+02    -  7.63e-02 2.19e-03h  6
 129  3.2762482e+01 1.17e-01 3.36e+06   1.3 2.99e+02    -  5.38e-02 1.50e-03h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  3.2758875e+01 1.16e-01 3.79e+06   1.3 2.90e+02    -  6.26e-02 2.67e-03h  6
 131  3.2750940e+01 1.16e-01 4.67e+06   1.3 2.71e+02    -  1.02e-01 3.49e-03h  5
 132  3.2745412e+01 1.15e-01 6.89e+06   1.3 2.27e+02    -  1.79e-01 3.25e-03h  6
 133  3.2729810e+01 1.14e-01 9.91e+06   1.3 1.76e+02    -  1.56e-01 1.07e-02h  5
 134  3.2516171e+01 1.13e-01 3.14e+06   1.3 1.66e+02    -  2.04e-02 1.70e-01w  1
 135  3.2512859e+01 1.12e-01 2.27e+06   1.3 1.16e+02    -  2.75e-02 3.36e-03w  1
 136  3.2512375e+01 1.12e-01 2.50e+06   1.3 2.30e+02    -  8.42e-03 8.01e-05w  1
 137  3.2723134e+01 1.14e-01 1.03e+07   1.3 6.02e+02    -  2.04e-02 5.30e-03h  5
 138  3.2727394e+01 1.12e-01 2.11e+07   1.3 2.19e+01   4.3 1.23e-01 1.50e-02h  1
 139  3.2732875e+01 1.07e-01 1.36e+07   1.3 3.00e+01   3.9 3.30e-04 3.94e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  3.2741364e+01 1.05e-01 1.40e+07   1.3 1.10e+02   3.4 3.95e-03 2.15e-02h  1
 141  3.2741454e+01 1.05e-01 2.37e+07   1.3 3.70e+01   3.8 1.01e-01 5.76e-04h  1
 142  3.2741466e+01 1.05e-01 3.74e+07   1.3 5.29e+01   3.3 7.45e-02 3.33e-05h  1
 143  3.2742782e+01 1.04e-01 5.76e+07   1.3 3.99e+01   3.8 5.69e-02 6.49e-03h  1
 144  3.2744061e+01 1.04e-01 5.82e+07   1.3 1.23e+02   3.3 6.92e-03 4.09e-03h  1
 145  3.2744800e+01 1.03e-01 9.45e+07   1.3 5.93e+01   3.7 7.43e-02 3.25e-03h  1
 146  3.2743868e+01 1.03e-01 9.44e+07   1.3 8.50e+02   3.2 1.03e-03 6.51e-04h  1
 147  3.2743899e+01 1.03e-01 9.56e+07   1.3 8.20e+01   3.7 3.26e-03 2.15e-04h  1
 148  3.2745635e+01 1.01e-01 1.64e+08   1.3 5.72e+01   4.1 9.56e-02 1.76e-02h  1
 149  3.2749643e+01 1.00e-01 1.64e+08   1.3 9.98e+01   3.6 1.11e-02 7.67e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  3.2765098e+01 1.00e-01 1.64e+08   1.3 5.88e+02   3.1 1.15e-03 1.11e-03h  1
 151  3.2766020e+01 1.00e-01 1.87e+08   1.3 1.09e+02   3.6 3.56e-02 4.73e-04h  1
 152  3.2779686e+01 9.87e-02 1.76e+08   1.3 8.24e+01   4.0 1.09e-02 1.59e-02h  1
 153  3.2779813e+01 9.87e-02 1.83e+08   1.3 1.56e+02   3.5 8.50e-03 4.41e-05h  1
 154  3.2780837e+01 9.82e-02 2.05e+08   1.3 9.02e+01   3.9 1.94e-02 5.43e-03h  1
 155  3.2780845e+01 9.82e-02 2.09e+08   1.3 2.27e+02   3.5 4.12e-03 1.65e-05h  1
 156  3.2780298e+01 9.80e-02 2.42e+08   1.3 1.57e+02   3.0 4.43e-02 1.44e-03h  1
 157  3.2776822e+01 9.75e-02 2.84e+08   1.3 1.29e+02   3.4 3.28e-02 4.97e-03h  4
 158  3.2772111e+01 9.66e-02 2.67e+08   1.3 1.48e+02   2.9 1.43e-04 9.60e-03h  3
 159  3.2768753e+01 9.58e-02 2.55e+08   1.3 1.60e+02   3.4 9.91e-06 8.50e-03f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  3.2764310e+01 9.41e-02 3.25e+08   1.3 1.16e+02   3.8 4.90e-02 1.75e-02h  2
 161  3.2764627e+01 9.37e-02 3.14e+08   1.3 9.16e+01   4.2 2.57e-03 4.27e-03h  1
 162r 3.2764627e+01 9.37e-02 1.00e+03   1.3 0.00e+00   3.7 0.00e+00 2.95e-07R  6
 163r 3.2737879e+01 9.30e-02 1.53e+03   1.8 1.96e+02    -  3.11e-01 9.87e-03f  1
 164  3.2744902e+01 9.30e-02 3.18e+01   1.3 7.52e+02    -  2.52e-03 1.98e-04f  1
 165  3.2790877e+01 9.26e-02 8.82e+02   1.3 3.48e+02    -  6.72e-02 3.76e-03f  1
 166  3.2838760e+01 9.04e-02 8.89e+02   1.3 2.19e+02    -  2.60e-02 2.38e-02f  1
 167  3.2868484e+01 8.86e-02 8.65e+02   1.3 2.26e+02    -  1.84e-02 1.98e-02f  2
 168  3.2881575e+01 8.77e-02 1.40e+03   1.3 2.27e+02    -  7.28e-02 1.06e-02f  2
 169  3.2892169e+01 8.67e-02 1.65e+03   1.3 1.73e+02    -  3.13e-02 1.01e-02f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  3.2912348e+01 8.50e-02 1.55e+03   1.3 2.18e+02    -  1.25e-02 1.88e-02f  2
 171  3.2923759e+01 8.41e-02 1.99e+03   1.3 2.28e+02    -  8.18e-02 1.03e-02f  3
 172  3.2932125e+01 8.34e-02 2.28e+03   1.3 2.11e+02    -  4.44e-02 7.98e-03f  4
 173  3.2939575e+01 8.28e-02 2.52e+03   1.3 2.02e+02    -  3.58e-02 7.32e-03f  4
 174  3.2949693e+01 8.20e-02 3.22e+03   1.3 2.02e+02    -  1.13e-01 9.94e-03f  3
 175  3.2997521e+01 7.81e-02 2.80e+03   1.3 1.96e+02    -  2.68e-02 4.65e-02f  2
 176  3.3086576e+01 7.08e-02 2.53e+03   1.3 2.15e+02    -  8.18e-02 8.71e-02f  1
 177  3.3098522e+01 6.86e-02 2.47e+03   1.3 7.64e+01    -  2.65e-02 2.33e-02h  1
 178  3.3129703e+01 6.56e-02 2.06e+03   1.3 1.05e+02    -  2.94e-02 4.38e-02h  1
 179  3.3153756e+01 6.35e-02 2.05e+03   1.3 1.14e+02    -  3.28e-02 3.13e-02h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  3.3176124e+01 6.17e-02 2.07e+03   1.3 1.64e+02    -  4.80e-02 2.73e-02f  2
 181  3.3192441e+01 6.04e-02 2.07e+03   1.3 1.45e+02    -  1.91e-02 2.50e-02f  1
 182  3.3202383e+01 5.99e-02 2.44e+03   1.3 1.21e+02    -  6.56e-02 1.44e-02f  2
 183  3.3221311e+01 6.01e-02 2.41e+03   1.3 1.58e+02    -  5.55e-02 2.52e-02f  2
 184  3.3222661e+01 5.97e-02 2.99e+03   1.3 3.08e+02    -  1.13e-03 6.39e-03f  1
 185  3.3246965e+01 5.95e-02 2.91e+03   1.3 1.16e+02    -  4.26e-02 3.74e-02f  2
 186  3.3289242e+01 6.23e-02 2.65e+03   1.3 1.35e+02    -  1.29e-01 6.11e-02f  1
 187  3.3293890e+01 6.17e-02 2.90e+03   1.3 1.12e+02    -  3.59e-03 1.16e-02f  1
 188  3.3322601e+01 6.13e-02 2.73e+03   1.3 1.01e+02    -  5.01e-02 5.29e-02f  2
 189  3.3356370e+01 6.19e-02 2.69e+03   1.3 1.11e+02    -  1.51e-01 6.56e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  3.3361037e+01 6.12e-02 3.03e+03   1.3 1.18e+02    -  2.89e-03 1.41e-02f  1
 191  3.3380757e+01 5.97e-02 2.95e+03   1.3 8.39e+01    -  5.58e-02 4.29e-02f  2
 192  3.3413286e+01 5.85e-02 2.84e+03   1.3 8.61e+01    -  1.12e-01 7.12e-02f  2
 193  3.3433665e+01 5.69e-02 2.77e+03   1.3 8.60e+01    -  7.28e-02 5.20e-02f  2
 194  3.3434907e+01 5.64e-02 2.69e+03   1.3 1.56e+02    -  1.00e-02 8.88e-03f  1
 195  3.3452151e+01 5.45e-02 2.90e+03   1.3 6.64e+01    -  1.11e-01 5.00e-02f  2
 196  3.3479744e+01 5.24e-02 2.66e+03   1.3 6.77e+01    -  7.00e-02 8.08e-02f  2
 197  3.3539051e+01 5.80e-02 2.82e+03   1.3 9.79e+01    -  7.84e-02 1.69e-01f  1
 198  3.3556775e+01 5.46e-02 2.49e+03   1.3 3.69e+01    -  1.40e-01 8.18e-02h  1
 199  3.3605666e+01 5.98e-02 2.25e+03   1.3 5.52e+01    -  9.42e-02 2.18e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  3.3622695e+01 5.44e-02 2.22e+03   1.3 3.73e+01    -  8.80e-02 1.35e-01f  1
 201  3.3638453e+01 5.14e-02 1.95e+03   1.3 4.18e+01    -  1.26e-01 1.53e-01f  1
 202  3.3665454e+01 4.29e-02 1.53e+03   1.3 2.58e+01    -  1.08e-01 3.61e-01h  1
 203  3.3691183e+01 3.72e-02 1.34e+03   1.3 4.17e+01    -  1.72e-01 2.60e-01f  1
 204  3.3692477e+01 3.39e-02 9.87e+02   1.3 3.58e+01    -  2.87e-01 1.48e-01f  1
 205  3.3690453e+01 3.07e-02 1.11e+03   1.3 3.08e+01    -  7.29e-02 1.31e-01f  1
 206  3.3702836e+01 4.29e-02 5.52e+02   1.3 3.71e+01    -  4.02e-01 3.43e-01f  1
 207  3.3704438e+01 3.52e-02 1.44e+03   1.3 4.50e+00   3.3 8.56e-02 1.79e-01h  1
 208  3.3704476e+01 2.51e-02 3.54e+03   1.3 3.69e+00   2.8 6.54e-01 2.88e-01h  1
 209  3.3700553e+01 1.14e-02 2.80e+03   1.3 2.67e+00   2.3 9.70e-01 5.46e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  3.3704984e+01 2.79e-04 3.71e+02   1.3 1.22e+00   1.8 1.00e+00 1.00e+00f  1
 211  3.3697433e+01 3.11e-07 1.43e+02  -4.7 1.64e-02    -  9.84e-01 1.00e+00h  1
 212  3.3173039e+01 1.95e-03 1.59e+01  -1.3 4.45e+00    -  8.85e-01 1.00e+00f  1
 213  3.1564426e+01 9.39e-03 1.68e+00  -1.8 6.20e+00    -  9.19e-01 1.00e+00h  1
 214  2.9961588e+01 1.50e-02 9.09e-01  -1.8 2.43e+01    -  4.60e-01 4.75e-01h  1
 215  2.8757039e+01 3.08e-02 3.96e-01  -1.8 2.04e+01    -  5.68e-01 6.93e-01h  1
 216  2.8471846e+01 3.50e-02 2.53e-01  -1.8 2.44e+01    -  3.94e-01 4.26e-01h  1
 217  2.8198453e+01 2.55e-02 9.52e-02  -1.8 1.43e+01    -  6.07e-01 5.86e-01h  1
 218  2.8135229e+01 3.60e-02 9.75e-02  -1.8 3.97e+01    -  2.51e-01 2.77e-01h  1
 219  2.7997302e+01 2.38e-02 9.57e-02  -1.8 1.23e+01    -  7.94e-01 6.44e-01h  1
